,fecha,producto,categoria,cantidad,precio_unitario,total,metodo_pago,es_outlier,cantidad_log
0,2023-09-30,Papas precocinadas,Congelados,1,2.3,2.3,Tarjeta crédito,False,0.6931471805599453
1,2024-10-31,Bolsas plásticas,Descartables,19,0.1,1.9,Tarjeta débito,True,2.995732273553991
2,2024-09-14,Leche entera,Lácteos,4,1.2,4.8,Tarjeta débito,False,1.6094379124341003
3,2023-11-27,Papas precocinadas,Congelados,2,2.3,4.6,QR,False,1.0986122886681098
4,2023-12-12,Leche entera,Lácteos,1,1.2,1.2,QR,False,0.6931471805599453
5,2023-12-16,Pollo entero,Carnes,1,4.5,4.5,Tarjeta crédito,False,0.6931471805599453
6,2024-05-11,Yogurt natural,Lácteos,2,0.9,1.8,Transferencia,False,1.0986122886681098
7,2023-03-17,Carne molida,Carnes,1,5.8,5.8,Tarjeta crédito,False,0.6931471805599453
9,2024-03-30,Pasta de Tomate,Enlatados,4,0.75,3.0,Efectivo,False,1.6094379124341003
10,2024-05-03,Jamón de pavo,Embutidos,1,3.2,3.2,QR,False,0.6931471805599453
11,2023-07-31,Yogurt natural,Lácteos,3,0.9,2.7,Tarjeta crédito,False,1.3862943611198906
12,2024-11-16,Jamón de pavo,Embutidos,3,3.2,9.6,Tarjeta débito,False,1.3862943611198906
13,2024-11-26,Yogurt natural,Lácteos,1,0.9,0.9,Efectivo,False,0.6931471805599453
15,2023-04-01,Bolsas plásticas,Descartables,6,0.1,0.6,Transferencia,False,1.9459101490553132
16,2023-05-15,Refresco 2L,Bebidas,4,1.1,4.4,QR,False,1.6094379124341003
17,2023-07-17,Carne molida,Carnes,1,5.8,5.8,Transferencia,False,0.6931471805599453
18,2023-03-08,Pasta de Tomate,Enlatados,2,0.75,1.5,Transferencia,False,1.0986122886681098
19,2023-01-12,Yogurt natural,Lácteos,3,0.9,2.7,QR,False,1.3862943611198906
20,2024-06-14,Pasta de Tomate,Enlatados,3,0.75,2.25,QR,False,1.3862943611198906
21,2024-06-15,Refresco 2L,Bebidas,2,1.1,2.2,Tarjeta crédito,False,1.0986122886681098
23,2023-04-22,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
24,2023-08-16,Pollo entero,Carnes,1,4.5,4.5,QR,False,0.6931471805599453
25,2024-08-31,Refresco 2L,Bebidas,2,1.1,2.2,Tarjeta débito,False,1.0986122886681098
26,2023-08-04,Carne molida,Carnes,1,5.8,5.8,QR,False,0.6931471805599453
29,2024-11-30,Papas precocinadas,Congelados,5,2.3,11.5,Tarjeta débito,False,1.791759469228055
30,2023-04-03,Refresco 2L,Bebidas,2,1.1,2.2,Efectivo,False,1.0986122886681098
31,2024-10-25,Helado familiar,Lácteos,2,4.0,8.0,Tarjeta débito,False,1.0986122886681098
32,2023-12-16,Yogurt natural,Lácteos,2,0.9,1.8,Tarjeta crédito,False,1.0986122886681098
33,2024-02-21,Leche entera,Lácteos,4,1.2,4.8,Efectivo,False,1.6094379124341003
34,2024-03-16,Helado familiar,Lácteos,2,4.0,8.0,Tarjeta crédito,False,1.0986122886681098
35,2024-02-15,Bolsas plásticas,Descartables,9,0.1,0.9,QR,False,2.302585092994046
36,2023-04-29,Jamón de pavo,Embutidos,1,3.2,3.2,Transferencia,False,0.6931471805599453
