,fecha,producto,categoria,cantidad,precio_unitario,medida,total,cantidad_log
0,2023-03-26,Pollo,Granos,5,0.95,kg,4.75,1.791759469228055
1,2023-11-06,Pasta de Tomate,Lácteos,2,1.5,u,3.0,1.0986122886681098
2,2023-07-21,Bolsas,Panadería,4,0.35,u,1.4,1.6094379124341003
3,2024-09-09,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
4,2024-10-25,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
5,2023-04-02,Refresco,Carnes,3,0.45,u,1.35,1.3862943611198906
6,2023-06-04,Leche entera,Granos,2,5.0,u,10.0,1.0986122886681098
7,2023-10-25,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
8,2024-11-06,Helado,Lácteos,3,1.1,u,3.3,1.3862943611198906
9,2024-09-25,Leche entera,Granos,3,5.0,u,15.0,1.3862943611198906
10,2024-09-09,Bolsas,Panadería,2,0.35,u,0.7,1.0986122886681098
11,2023-10-12,Refresco,Carnes,1,0.45,u,0.45,0.6931471805599453
12,2024-10-24,Jamón,Carnes,5,0.9,kg,4.5,1.791759469228055
13,2023-03-07,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
14,2024-05-06,Papas precocinadas,Lácteos,2,3.15,u,6.3,1.0986122886681098
15,2023-12-10,Carne molida,Aceites,4,0.8,kg,3.2,1.6094379124341003
16,2023-10-07,Papas precocinadas,Lácteos,3,3.15,u,9.45,1.3862943611198906
17,2023-06-13,Carne molida,Aceites,7,0.8,kg,5.6,2.0794415416798357
18,2024-03-24,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
19,2024-03-02,Pollo,Granos,2,0.95,kg,1.9,1.0986122886681098
20,2024-11-08,Carne molida,Aceites,3,0.8,kg,2.4,1.3862943611198906
21,2023-04-14,Pasta de Tomate,Lácteos,3,1.5,u,4.5,1.3862943611198906
22,2024-08-31,Jamón,Carnes,2,0.9,kg,1.8,1.0986122886681098
23,2024-03-22,Pollo,Granos,4,0.95,kg,3.8,1.6094379124341003
24,2024-09-16,Pollo,Granos,5,0.95,kg,4.75,1.791759469228055
