producto,año_mes,categoria,medida,cantidad,total,fecha,mes_n,media_3m,producto_cod,categoria_cod,medida_cod
Bolsas,2023-03,Panadería,u,191,66.85,2023-03-01,0,191.0,0,5,1
Bolsas,2023-04,Panadería,u,146,51.1,2023-04-01,1,168.5,0,5,1
Bolsas,2023-05,Panadería,u,173,60.55,2023-05-01,2,170.0,0,5,1
Bolsas,2023-06,Panadería,u,172,60.199999999999996,2023-06-01,3,163.66666666666666,0,5,1
Bolsas,2023-07,Panadería,u,229,80.14999999999999,2023-07-01,4,191.33333333333334,0,5,1
Bolsas,2023-08,Panadería,u,204,71.4,2023-08-01,5,201.66666666666666,0,5,1
Bolsas,2023-09,Panadería,u,204,71.4,2023-09-01,6,212.33333333333334,0,5,1
Bolsas,2023-10,Panadería,u,152,53.199999999999996,2023-10-01,7,186.66666666666666,0,5,1
Bolsas,2023-11,Panadería,u,156,54.6,2023-11-01,8,170.66666666666666,0,5,1
Bolsas,2023-12,Panadería,u,206,72.1,2023-12-01,9,171.33333333333334,0,5,1
Bolsas,2024-01,Panadería,u,209,73.15,2024-01-01,10,190.33333333333334,0,5,1
Bolsas,2024-02,Panadería,u,137,47.949999999999996,2024-02-01,11,184.0,0,5,1
Bolsas,2024-03,Panadería,u,198,69.3,2024-03-01,12,181.33333333333334,0,5,1
Bolsas,2024-04,Panadería,u,171,59.85,2024-04-01,13,168.66666666666666,0,5,1
Bolsas,2024-05,Panadería,u,195,68.25,2024-05-01,14,188.0,0,5,1
Bolsas,2024-06,Panadería,u,159,55.65,2024-06-01,15,175.0,0,5,1
Bolsas,2024-07,Panadería,u,152,53.199999999999996,2024-07-01,16,168.66666666666666,0,5,1
Bolsas,2024-08,Panadería,u,165,57.75,2024-08-01,17,158.66666666666666,0,5,1
Bolsas,2024-09,Panadería,u,174,60.9,2024-09-01,18,163.66666666666666,0,5,1
Bolsas,2024-10,Panadería,u,192,67.2,2024-10-01,19,177.0,0,5,1
Bolsas,2024-11,Panadería,u,179,62.65,2024-11-01,20,181.66666666666666,0,5,1
Carne molida,2023-03,Aceites,kg,146,116.8,2023-03-01,0,146.0,1,0,0
Carne molida,2023-04,Aceites,kg,189,151.2,2023-04-01,1,167.5,1,0,0
Carne molida,2023-05,Aceites,kg,172,137.6,2023-05-01,2,169.0,1,0,0
Carne molida,2023-06,Aceites,kg,166,132.8,2023-06-01,3,175.66666666666666,1,0,0
Carne molida,2023-07,Aceites,kg,160,128.0,2023-07-01,4,166.0,1,0,0
Carne molida,2023-08,Aceites,kg,192,153.6,2023-08-01,5,172.66666666666666,1,0,0
Carne molida,2023-09,Aceites,kg,176,140.8,2023-09-01,6,176.0,1,0,0
Carne molida,2023-10,Aceites,kg,181,144.8,2023-10-01,7,183.0,1,0,0
Carne molida,2023-11,Aceites,kg,194,155.2,2023-11-01,8,183.66666666666666,1,0,0
Carne molida,2023-12,Aceites,kg,151,120.8,2023-12-01,9,175.33333333333334,1,0,0
Carne molida,2024-01,Aceites,kg,187,149.6,2024-01-01,10,177.33333333333334,1,0,0
Carne molida,2024-02,Aceites,kg,174,139.2,2024-02-01,11,170.66666666666666,1,0,0
Carne molida,2024-03,Aceites,kg,198,158.4,2024-03-01,12,186.33333333333334,1,0,0
Carne molida,2024-04,Aceites,kg,195,156.0,2024-04-01,13,189.0,1,0,0
Carne molida,2024-05,Aceites,kg,138,110.4,2024-05-01,14,177.0,1,0,0
Carne molida,2024-06,Aceites,kg,202,161.6,2024-06-01,15,178.33333333333334,1,0,0
Carne molida,2024-07,Aceites,kg,163,130.4,2024-07-01,16,167.66666666666666,1,0,0
Carne molida,2024-08,Aceites,kg,172,137.6,2024-08-01,17,179.0,1,0,0
Carne molida,2024-09,Aceites,kg,229,183.2,2024-09-01,18,188.0,1,0,0
Carne molida,2024-10,Aceites,kg,153,122.4,2024-10-01,19,184.66666666666666,1,0,0
Carne molida,2024-11,Aceites,kg,166,132.8,2024-11-01,20,182.66666666666666,1,0,0
Carne molida,2024-12,Aceites,kg,5,4.0,2024-12-01,21,108.0,1,0,0
Helado,2023-03,Lácteos,u,153,168.3,2023-03-01,0,153.0,2,4,1
Helado,2023-04,Lácteos,u,153,168.3,2023-04-01,1,153.0,2,4,1
Helado,2023-05,Lácteos,u,174,191.4,2023-05-01,2,160.0,2,4,1
Helado,2023-06,Lácteos,u,162,178.2,2023-06-01,3,163.0,2,4,1
Helado,2023-07,Lácteos,u,165,181.5,2023-07-01,4,167.0,2,4,1
Helado,2023-08,Lácteos,u,215,236.5,2023-08-01,5,180.66666666666666,2,4,1
Helado,2023-09,Lácteos,u,141,155.1,2023-09-01,6,173.66666666666666,2,4,1
Helado,2023-10,Lácteos,u,163,179.3,2023-10-01,7,173.0,2,4,1
Helado,2023-11,Lácteos,u,159,174.9,2023-11-01,8,154.33333333333334,2,4,1
Helado,2023-12,Lácteos,u,197,216.7,2023-12-01,9,173.0,2,4,1
Helado,2024-01,Lácteos,u,181,199.1,2024-01-01,10,179.0,2,4,1
Helado,2024-02,Lácteos,u,132,145.20000000000002,2024-02-01,11,170.0,2,4,1
Helado,2024-03,Lácteos,u,202,222.2,2024-03-01,12,171.66666666666666,2,4,1
Helado,2024-04,Lácteos,u,178,195.8,2024-04-01,13,170.66666666666666,2,4,1
Helado,2024-05,Lácteos,u,141,155.1,2024-05-01,14,173.66666666666666,2,4,1
Helado,2024-06,Lácteos,u,179,196.9,2024-06-01,15,166.0,2,4,1
Helado,2024-07,Lácteos,u,165,181.5,2024-07-01,16,161.66666666666666,2,4,1
Helado,2024-08,Lácteos,u,182,200.20000000000002,2024-08-01,17,175.33333333333334,2,4,1
Helado,2024-09,Lácteos,u,153,168.3,2024-09-01,18,166.66666666666666,2,4,1
Helado,2024-10,Lácteos,u,148,162.8,2024-10-01,19,161.0,2,4,1
Helado,2024-11,Lácteos,u,152,167.2,2024-11-01,20,151.0,2,4,1
Helado,2024-12,Lácteos,u,3,3.3,2024-12-01,21,101.0,2,4,1
Jamón,2023-03,Carnes,kg,183,164.70000000000002,2023-03-01,0,183.0,3,2,0
Jamón,2023-04,Carnes,kg,179,161.1,2023-04-01,1,181.0,3,2,0
Jamón,2023-05,Carnes,kg,174,156.6,2023-05-01,2,178.66666666666666,3,2,0
Jamón,2023-06,Carnes,kg,165,148.5,2023-06-01,3,172.66666666666666,3,2,0
Jamón,2023-07,Carnes,kg,209,188.1,2023-07-01,4,182.66666666666666,3,2,0
Jamón,2023-08,Carnes,kg,171,153.9,2023-08-01,5,181.66666666666666,3,2,0
Jamón,2023-09,Carnes,kg,139,125.10000000000001,2023-09-01,6,173.0,3,2,0
Jamón,2023-10,Carnes,kg,147,132.3,2023-10-01,7,152.33333333333334,3,2,0
Jamón,2023-11,Carnes,kg,175,157.5,2023-11-01,8,153.66666666666666,3,2,0
Jamón,2023-12,Carnes,kg,121,108.9,2023-12-01,9,147.66666666666666,3,2,0
Jamón,2024-01,Carnes,kg,153,137.70000000000002,2024-01-01,10,149.66666666666666,3,2,0
Jamón,2024-02,Carnes,kg,130,117.0,2024-02-01,11,134.66666666666666,3,2,0
Jamón,2024-03,Carnes,kg,175,157.5,2024-03-01,12,152.66666666666666,3,2,0
Jamón,2024-04,Carnes,kg,194,174.6,2024-04-01,13,166.33333333333334,3,2,0
Jamón,2024-05,Carnes,kg,165,148.5,2024-05-01,14,178.0,3,2,0
Jamón,2024-06,Carnes,kg,179,161.1,2024-06-01,15,179.33333333333334,3,2,0
Jamón,2024-07,Carnes,kg,183,164.7,2024-07-01,16,175.66666666666666,3,2,0
Jamón,2024-08,Carnes,kg,178,160.20000000000002,2024-08-01,17,180.0,3,2,0
