fecha,categoria,tipo,cantidad,ci_lower,ci_upper
2023-01-03,Bebidas,Historico,7,,
2023-01-03,Carnes,Historico,7,,
2023-01-03,Descartables,Historico,32,,
2023-01-03,Embutidos,Historico,8,,
2023-01-03,Enlatados,Historico,10,,
2023-01-03,Lacteos,Historico,17,,
2023-01-04,Bebidas,Historico,9,,
2023-01-04,Carnes,Historico,10,,
2023-01-04,Congelados,Historico,2,,
2023-01-04,Descartables,Historico,51,,
2023-01-04,Embutidos,Historico,1,,
2023-01-04,Enlatados,Historico,20,,
2023-01-04,Lacteos,Historico,15,,
2023-01-05,Bebidas,Historico,4,,
2023-01-05,Carnes,Historico,10,,
2023-01-05,Congelados,Historico,1,,
2023-01-05,Descartables,Historico,13,,
2023-01-05,Embutidos,Historico,1,,
2023-01-05,Enlatados,Historico,6,,
2023-01-05,Lacteos,Historico,6,,
2023-01-06,Bebidas,Historico,41,,
2023-01-06,Carnes,Historico,22,,
2023-01-06,Congelados,Historico,24,,
2023-01-06,Descartables,Historico,39,,
2023-01-06,Enlatados,Historico,10,,
2023-01-06,Lacteos,Historico,6,,
2023-01-07,Bebidas,Historico,36,,
2023-01-07,Carnes,Historico,14,,
2023-01-07,Congelados,Historico,7,,
2023-01-07,Descartables,Historico,51,,
2023-01-07,Embutidos,Historico,2,,
2023-01-07,Enlatados,Historico,6,,
2023-01-07,Lacteos,Historico,29,,
2023-01-08,Bebidas,Historico,13,,
2023-01-08,Carnes,Historico,20,,
2023-01-08,Congelados,Historico,9,,
2023-01-08,Embutidos,Historico,4,,
2023-01-08,Enlatados,Historico,4,,
2023-01-08,Lacteos,Historico,21,,
2023-01-09,Bebidas,Historico,7,,
2023-01-09,Carnes,Historico,10,,
2023-01-09,Congelados,Historico,2,,
2023-01-09,Descartables,Historico,7,,
2023-01-09,Embutidos,Historico,1,,
2023-01-09,Enlatados,Historico,3,,
2023-01-09,Lacteos,Historico,18,,
2023-01-11,Bebidas,Historico,34,,
2023-01-11,Carnes,Historico,10,,
2023-01-11,Congelados,Historico,13,,
2023-01-11,Descartables,Historico,31,,
2023-01-11,Embutidos,Historico,11,,
2023-01-11,Enlatados,Historico,12,,
2023-01-11,Lacteos,Historico,8,,
2023-01-12,Bebidas,Historico,15,,
2023-01-12,Carnes,Historico,15,,
2023-01-12,Congelados,Historico,8,,
2023-01-12,Descartables,Historico,72,,
2023-01-12,Embutidos,Historico,7,,
2023-01-12,Enlatados,Historico,6,,
2023-01-12,Lacteos,Historico,39,,
2023-02-03,Bebidas,Historico,3,,
2023-02-03,Carnes,Historico,9,,
2023-02-03,Congelados,Historico,2,,
2023-02-03,Descartables,Historico,29,,
2023-02-03,Embutidos,Historico,3,,
2023-02-03,Enlatados,Historico,6,,
2023-02-03,Lacteos,Historico,40,,
2023-02-05,Bebidas,Historico,3,,
2023-02-05,Carnes,Historico,12,,
2023-02-05,Congelados,Historico,3,,
2023-02-05,Descartables,Historico,26,,
2023-02-05,Enlatados,Historico,9,,
2023-02-05,Lacteos,Historico,9,,
2023-02-06,Bebidas,Historico,3,,
2023-02-06,Carnes,Historico,11,,
2023-02-06,Congelados,Historico,14,,
2023-02-06,Descartables,Historico,34,,
2023-02-06,Embutidos,Historico,5,,
2023-02-06,Enlatados,Historico,16,,
2023-02-06,Lacteos,Historico,25,,
2023-02-08,Bebidas,Historico,15,,
2023-02-08,Carnes,Historico,30,,
2023-02-08,Congelados,Historico,2,,
2023-02-08,Descartables,Historico,96,,
2023-02-08,Embutidos,Historico,5,,
2023-02-08,Enlatados,Historico,16,,
2023-02-08,Lacteos,Historico,8,,
2023-02-09,Bebidas,Historico,6,,
2023-02-09,Carnes,Historico,32,,
2023-02-09,Congelados,Historico,2,,
2023-02-09,Descartables,Historico,54,,
2023-02-09,Embutidos,Historico,2,,
2023-02-09,Enlatados,Historico,12,,
2023-02-09,Lacteos,Historico,26,,
2023-02-10,Bebidas,Historico,9,,
2023-02-10,Carnes,Historico,15,,
2023-02-10,Congelados,Historico,7,,
2023-02-10,Descartables,Historico,30,,
2023-02-10,Embutidos,Historico,3,,
2023-02-10,Enlatados,Historico,5,,
2023-02-10,Lacteos,Historico,32,,
2023-02-11,Bebidas,Historico,19,,
2023-02-11,Carnes,Historico,10,,
2023-02-11,Congelados,Historico,30,,
2023-02-11,Descartables,Historico,43,,
2023-02-11,Embutidos,Historico,8,,
2023-02-11,Enlatados,Historico,15,,
2023-02-11,Lacteos,Historico,13,,
2023-02-12,Bebidas,Historico,22,,
2023-02-12,Carnes,Historico,20,,
2023-02-12,Congelados,Historico,10,,
2023-02-12,Descartables,Historico,183,,
2023-02-12,Embutidos,Historico,8,,
2023-02-12,Enlatados,Historico,4,,
2023-02-12,Lacteos,Historico,79,,
2023-03-01,Carnes,Historico,1,,
2023-03-01,Enlatados,Historico,5,,
2023-03-01,Lacteos,Historico,1,,
2023-03-02,Bebidas,Historico,2,,
2023-03-02,Carnes,Historico,5,,
2023-03-02,Descartables,Historico,7,,
2023-03-02,Lacteos,Historico,8,,
2023-03-03,Bebidas,Historico,27,,
2023-03-03,Carnes,Historico,8,,
2023-03-03,Congelados,Historico,1,,
2023-03-03,Descartables,Historico,8,,
2023-03-03,Embutidos,Historico,4,,
2023-03-03,Enlatados,Historico,6,,
2023-03-03,Lacteos,Historico,35,,
2023-03-04,Bebidas,Historico,14,,
2023-03-04,Carnes,Historico,11,,
2023-03-04,Congelados,Historico,1,,
2023-03-04,Descartables,Historico,59,,
2023-03-04,Enlatados,Historico,23,,
2023-03-04,Lacteos,Historico,9,,
2023-03-05,Bebidas,Historico,6,,
2023-03-05,Carnes,Historico,7,,
2023-03-05,Congelados,Historico,5,,
2023-03-05,Descartables,Historico,15,,
2023-03-05,Embutidos,Historico,8,,
2023-03-05,Enlatados,Historico,13,,
2023-03-05,Lacteos,Historico,19,,
2023-03-06,Bebidas,Historico,24,,
2023-03-06,Carnes,Historico,12,,
2023-03-06,Congelados,Historico,12,,
2023-03-06,Descartables,Historico,44,,
2023-03-06,Enlatados,Historico,17,,
2023-03-06,Lacteos,Historico,5,,
2023-03-07,Bebidas,Historico,47,,
2023-03-07,Carnes,Historico,9,,
2023-03-07,Congelados,Historico,12,,
2023-03-07,Descartables,Historico,44,,
2023-03-07,Embutidos,Historico,3,,
2023-03-07,Enlatados,Historico,4,,
2023-03-07,Lacteos,Historico,12,,
2023-03-08,Bebidas,Historico,32,,
2023-03-08,Carnes,Historico,27,,
2023-03-08,Congelados,Historico,4,,
2023-03-08,Descartables,Historico,19,,
2023-03-08,Embutidos,Historico,4,,
2023-03-08,Enlatados,Historico,22,,
2023-03-08,Lacteos,Historico,8,,
2023-03-09,Descartables,Historico,5,,
2023-03-09,Lacteos,Historico,2,,
2023-03-10,Bebidas,Historico,6,,
2023-03-10,Carnes,Historico,13,,
2023-03-10,Congelados,Historico,9,,
2023-03-10,Descartables,Historico,22,,
2023-03-10,Embutidos,Historico,3,,
2023-03-10,Enlatados,Historico,6,,
2023-03-10,Lacteos,Historico,46,,
2023-03-11,Bebidas,Historico,18,,
2023-03-11,Carnes,Historico,14,,
2023-03-11,Congelados,Historico,11,,
2023-03-11,Descartables,Historico,28,,
2023-03-11,Embutidos,Historico,17,,
2023-03-11,Enlatados,Historico,5,,
2023-03-11,Lacteos,Historico,39,,
2023-03-13,Bebidas,Historico,10,,
2023-03-13,Carnes,Historico,20,,
2023-03-13,Congelados,Historico,3,,
2023-03-13,Descartables,Historico,41,,
2023-03-13,Embutidos,Historico,6,,
2023-03-13,Enlatados,Historico,15,,
2023-03-13,Lacteos,Historico,20,,
2023-03-14,Bebidas,Historico,27,,
2023-03-14,Carnes,Historico,13,,
2023-03-14,Congelados,Historico,3,,
2023-03-14,Descartables,Historico,81,,
2023-03-14,Embutidos,Historico,9,,
2023-03-14,Enlatados,Historico,5,,
2023-03-14,Lacteos,Historico,20,,
2023-03-15,Bebidas,Historico,12,,
2023-03-15,Carnes,Historico,14,,
2023-03-15,Congelados,Historico,6,,
2023-03-15,Descartables,Historico,31,,
2023-03-15,Embutidos,Historico,17,,
2023-03-15,Enlatados,Historico,6,,
2023-03-15,Lacteos,Historico,17,,
2023-03-16,Bebidas,Historico,6,,
2023-03-16,Carnes,Historico,11,,
2023-03-16,Congelados,Historico,2,,
2023-03-16,Descartables,Historico,70,,
2023-03-16,Embutidos,Historico,4,,
2023-03-16,Enlatados,Historico,7,,
2023-03-16,Lacteos,Historico,17,,
2023-03-17,Bebidas,Historico,7,,
2023-03-17,Carnes,Historico,10,,
2023-03-17,Congelados,Historico,3,,
2023-03-17,Descartables,Historico,27,,
2023-03-17,Embutidos,Historico,1,,
2023-03-17,Enlatados,Historico,8,,
2023-03-17,Lacteos,Historico,10,,
2023-03-18,Bebidas,Historico,18,,
2023-03-18,Carnes,Historico,5,,
2023-03-18,Congelados,Historico,7,,
2023-03-18,Descartables,Historico,51,,
2023-03-18,Embutidos,Historico,6,,
2023-03-18,Enlatados,Historico,9,,
2023-03-18,Lacteos,Historico,19,,
2023-03-20,Bebidas,Historico,5,,
2023-03-20,Carnes,Historico,17,,
2023-03-20,Congelados,Historico,4,,
2023-03-20,Descartables,Historico,43,,
2023-03-20,Embutidos,Historico,1,,
2023-03-20,Enlatados,Historico,21,,
2023-03-20,Lacteos,Historico,7,,
2023-03-21,Bebidas,Historico,7,,
2023-03-21,Carnes,Historico,7,,
2023-03-21,Congelados,Historico,9,,
2023-03-21,Descartables,Historico,39,,
2023-03-21,Embutidos,Historico,2,,
2023-03-21,Enlatados,Historico,4,,
2023-03-21,Lacteos,Historico,27,,
2023-03-22,Bebidas,Historico,6,,
2023-03-22,Carnes,Historico,8,,
2023-03-22,Congelados,Historico,11,,
2023-03-22,Descartables,Historico,34,,
2023-03-22,Embutidos,Historico,3,,
2023-03-22,Enlatados,Historico,3,,
2023-03-22,Lacteos,Historico,23,,
2023-03-23,Bebidas,Historico,6,,
2023-03-23,Carnes,Historico,15,,
2023-03-23,Congelados,Historico,6,,
2023-03-23,Descartables,Historico,40,,
2023-03-23,Enlatados,Historico,12,,
2023-03-23,Lacteos,Historico,15,,
2023-03-24,Bebidas,Historico,8,,
2023-03-24,Carnes,Historico,8,,
2023-03-24,Congelados,Historico,8,,
2023-03-24,Descartables,Historico,48,,
2023-03-24,Embutidos,Historico,3,,
2023-03-24,Enlatados,Historico,24,,
2023-03-24,Lacteos,Historico,17,,
2023-03-25,Bebidas,Historico,9,,
2023-03-25,Carnes,Historico,12,,
2023-03-25,Congelados,Historico,4,,
2023-03-25,Descartables,Historico,51,,
2023-03-25,Embutidos,Historico,3,,
2023-03-25,Enlatados,Historico,14,,
2023-03-25,Lacteos,Historico,19,,
2023-03-27,Bebidas,Historico,6,,
2023-03-27,Carnes,Historico,25,,
2023-03-27,Congelados,Historico,1,,
2023-03-27,Descartables,Historico,21,,
2023-03-27,Embutidos,Historico,1,,
2023-03-27,Enlatados,Historico,4,,
2023-03-27,Lacteos,Historico,22,,
2023-03-28,Bebidas,Historico,13,,
2023-03-28,Carnes,Historico,9,,
2023-03-28,Congelados,Historico,3,,
2023-03-28,Descartables,Historico,30,,
2023-03-28,Embutidos,Historico,2,,
2023-03-28,Enlatados,Historico,8,,
2023-03-28,Lacteos,Historico,22,,
2023-03-29,Bebidas,Historico,18,,
2023-03-29,Carnes,Historico,12,,
2023-03-29,Congelados,Historico,7,,
2023-03-29,Descartables,Historico,58,,
2023-03-29,Embutidos,Historico,2,,
2023-03-29,Enlatados,Historico,5,,
2023-03-29,Lacteos,Historico,54,,
2023-03-30,Bebidas,Historico,15,,
2023-03-30,Carnes,Historico,9,,
2023-03-30,Congelados,Historico,5,,
2023-03-30,Descartables,Historico,48,,
2023-03-30,Embutidos,Historico,4,,
2023-03-30,Enlatados,Historico,22,,
2023-03-30,Lacteos,Historico,27,,
2023-03-31,Bebidas,Historico,28,,
2023-03-31,Carnes,Historico,9,,
2023-03-31,Congelados,Historico,7,,
2023-03-31,Descartables,Historico,48,,
2023-03-31,Embutidos,Historico,2,,
2023-03-31,Enlatados,Historico,21,,
2023-03-31,Lacteos,Historico,11,,
2023-04-01,Carnes,Historico,2,,
2023-04-01,Descartables,Historico,1,,
2023-04-01,Embutidos,Historico,2,,
2023-04-01,Enlatados,Historico,5,,
2023-04-01,Lacteos,Historico,11,,
2023-04-03,Bebidas,Historico,22,,
2023-04-03,Carnes,Historico,12,,
2023-04-03,Congelados,Historico,3,,
2023-04-03,Descartables,Historico,36,,
2023-04-03,Embutidos,Historico,2,,
2023-04-03,Enlatados,Historico,16,,
2023-04-03,Lacteos,Historico,20,,
2023-04-04,Bebidas,Historico,6,,
2023-04-04,Carnes,Historico,11,,
2023-04-04,Descartables,Historico,21,,
2023-04-04,Embutidos,Historico,1,,
2023-04-04,Enlatados,Historico,18,,
2023-04-04,Lacteos,Historico,21,,
2023-04-05,Bebidas,Historico,4,,
2023-04-05,Carnes,Historico,12,,
2023-04-05,Congelados,Historico,2,,
2023-04-05,Descartables,Historico,37,,
2023-04-05,Embutidos,Historico,3,,
2023-04-05,Enlatados,Historico,20,,
2023-04-05,Lacteos,Historico,8,,
2023-04-06,Bebidas,Historico,2,,
2023-04-06,Congelados,Historico,2,,
2023-04-06,Descartables,Historico,8,,
2023-04-06,Lacteos,Historico,3,,
2023-04-07,Bebidas,Historico,32,,
2023-04-07,Carnes,Historico,7,,
2023-04-07,Congelados,Historico,18,,
2023-04-07,Descartables,Historico,51,,
2023-04-07,Enlatados,Historico,11,,
2023-04-07,Lacteos,Historico,21,,
2023-04-08,Bebidas,Historico,55,,
2023-04-08,Carnes,Historico,18,,
2023-04-08,Congelados,Historico,8,,
2023-04-08,Descartables,Historico,48,,
2023-04-08,Embutidos,Historico,9,,
2023-04-08,Enlatados,Historico,11,,
2023-04-08,Lacteos,Historico,14,,
2023-04-09,Bebidas,Historico,27,,
2023-04-09,Carnes,Historico,16,,
2023-04-09,Congelados,Historico,2,,
2023-04-09,Descartables,Historico,17,,
2023-04-09,Embutidos,Historico,2,,
2023-04-09,Enlatados,Historico,6,,
2023-04-09,Lacteos,Historico,22,,
2023-04-10,Bebidas,Historico,8,,
2023-04-10,Carnes,Historico,13,,
2023-04-10,Congelados,Historico,3,,
2023-04-10,Descartables,Historico,65,,
2023-04-10,Embutidos,Historico,1,,
2023-04-10,Enlatados,Historico,7,,
2023-04-10,Lacteos,Historico,18,,
2023-04-11,Bebidas,Historico,10,,
2023-04-11,Carnes,Historico,17,,
2023-04-11,Congelados,Historico,11,,
2023-04-11,Descartables,Historico,51,,
2023-04-11,Embutidos,Historico,3,,
2023-04-11,Enlatados,Historico,20,,
2023-04-11,Lacteos,Historico,41,,
2023-04-12,Bebidas,Historico,23,,
2023-04-12,Carnes,Historico,34,,
2023-04-12,Congelados,Historico,4,,
2023-04-12,Descartables,Historico,135,,
2023-04-12,Embutidos,Historico,4,,
2023-04-12,Enlatados,Historico,19,,
2023-04-12,Lacteos,Historico,26,,
2023-04-13,Bebidas,Historico,4,,
2023-04-13,Carnes,Historico,15,,
2023-04-13,Congelados,Historico,16,,
2023-04-13,Descartables,Historico,11,,
2023-04-13,Embutidos,Historico,5,,
2023-04-13,Enlatados,Historico,26,,
2023-04-13,Lacteos,Historico,20,,
2023-04-14,Bebidas,Historico,9,,
2023-04-14,Carnes,Historico,21,,
2023-04-14,Congelados,Historico,10,,
2023-04-14,Descartables,Historico,44,,
2023-04-14,Embutidos,Historico,4,,
2023-04-14,Enlatados,Historico,23,,
2023-04-14,Lacteos,Historico,52,,
2023-04-15,Bebidas,Historico,13,,
2023-04-15,Carnes,Historico,20,,
2023-04-15,Congelados,Historico,7,,
2023-04-15,Descartables,Historico,136,,
2023-04-15,Embutidos,Historico,4,,
2023-04-15,Enlatados,Historico,30,,
2023-04-15,Lacteos,Historico,19,,
2023-04-17,Bebidas,Historico,11,,
2023-04-17,Carnes,Historico,8,,
2023-04-17,Congelados,Historico,2,,
2023-04-17,Descartables,Historico,45,,
2023-04-17,Embutidos,Historico,1,,
2023-04-17,Enlatados,Historico,7,,
2023-04-17,Lacteos,Historico,10,,
2023-04-18,Bebidas,Historico,7,,
2023-04-18,Carnes,Historico,11,,
2023-04-18,Congelados,Historico,2,,
2023-04-18,Descartables,Historico,37,,
2023-04-18,Embutidos,Historico,4,,
2023-04-18,Enlatados,Historico,17,,
2023-04-18,Lacteos,Historico,21,,
2023-04-19,Bebidas,Historico,12,,
2023-04-19,Carnes,Historico,14,,
2023-04-19,Congelados,Historico,2,,
2023-04-19,Descartables,Historico,53,,
2023-04-19,Embutidos,Historico,1,,
2023-04-19,Enlatados,Historico,19,,
2023-04-19,Lacteos,Historico,24,,
2023-04-20,Bebidas,Historico,23,,
2023-04-20,Carnes,Historico,17,,
2023-04-20,Congelados,Historico,2,,
2023-04-20,Descartables,Historico,37,,
2023-04-20,Enlatados,Historico,22,,
2023-04-20,Lacteos,Historico,8,,
2023-04-21,Bebidas,Historico,10,,
2023-04-21,Carnes,Historico,11,,
2023-04-21,Congelados,Historico,7,,
2023-04-21,Descartables,Historico,36,,
2023-04-21,Embutidos,Historico,4,,
2023-04-21,Enlatados,Historico,26,,
2023-04-21,Lacteos,Historico,12,,
2023-04-22,Bebidas,Historico,26,,
2023-04-22,Carnes,Historico,33,,
2023-04-22,Congelados,Historico,6,,
2023-04-22,Descartables,Historico,53,,
2023-04-22,Embutidos,Historico,13,,
2023-04-22,Enlatados,Historico,7,,
2023-04-22,Lacteos,Historico,18,,
2023-04-24,Bebidas,Historico,18,,
2023-04-24,Carnes,Historico,7,,
2023-04-24,Descartables,Historico,23,,
2023-04-24,Embutidos,Historico,2,,
2023-04-24,Enlatados,Historico,14,,
2023-04-24,Lacteos,Historico,27,,
2023-04-25,Bebidas,Historico,8,,
2023-04-25,Carnes,Historico,12,,
2023-04-25,Congelados,Historico,2,,
2023-04-25,Descartables,Historico,38,,
2023-04-25,Embutidos,Historico,7,,
2023-04-25,Enlatados,Historico,14,,
2023-04-25,Lacteos,Historico,7,,
2023-04-26,Bebidas,Historico,8,,
2023-04-26,Carnes,Historico,8,,
2023-04-26,Congelados,Historico,1,,
2023-04-26,Descartables,Historico,19,,
2023-04-26,Embutidos,Historico,3,,
2023-04-26,Enlatados,Historico,33,,
2023-04-26,Lacteos,Historico,15,,
2023-04-27,Bebidas,Historico,12,,
2023-04-27,Carnes,Historico,7,,
2023-04-27,Congelados,Historico,3,,
2023-04-27,Descartables,Historico,32,,
2023-04-27,Enlatados,Historico,13,,
2023-04-27,Lacteos,Historico,24,,
2023-04-28,Bebidas,Historico,21,,
2023-04-28,Carnes,Historico,16,,
2023-04-28,Congelados,Historico,8,,
2023-04-28,Descartables,Historico,21,,
2023-04-28,Embutidos,Historico,3,,
2023-04-28,Enlatados,Historico,1,,
2023-04-28,Lacteos,Historico,21,,
2023-04-29,Bebidas,Historico,31,,
2023-04-29,Carnes,Historico,16,,
2023-04-29,Congelados,Historico,7,,
2023-04-29,Descartables,Historico,38,,
2023-04-29,Embutidos,Historico,3,,
2023-04-29,Enlatados,Historico,24,,
2023-04-29,Lacteos,Historico,67,,
2023-05-01,Lacteos,Historico,8,,
2023-05-02,Carnes,Historico,1,,
2023-05-02,Descartables,Historico,5,,
2023-05-02,Embutidos,Historico,1,,
2023-05-02,Enlatados,Historico,3,,
2023-05-02,Lacteos,Historico,1,,
2023-05-03,Bebidas,Historico,2,,
2023-05-03,Carnes,Historico,2,,
2023-05-03,Congelados,Historico,1,,
2023-05-03,Descartables,Historico,3,,
2023-05-03,Lacteos,Historico,2,,
2023-05-04,Bebidas,Historico,14,,
2023-05-04,Carnes,Historico,6,,
2023-05-04,Congelados,Historico,8,,
2023-05-04,Descartables,Historico,42,,
2023-05-04,Embutidos,Historico,3,,
2023-05-04,Enlatados,Historico,4,,
2023-05-04,Lacteos,Historico,24,,
2023-05-05,Bebidas,Historico,12,,
2023-05-05,Carnes,Historico,7,,
2023-05-05,Congelados,Historico,1,,
2023-05-05,Descartables,Historico,51,,
2023-05-05,Embutidos,Historico,5,,
2023-05-05,Enlatados,Historico,6,,
2023-05-05,Lacteos,Historico,30,,
2023-05-06,Bebidas,Historico,17,,
2023-05-06,Carnes,Historico,7,,
2023-05-06,Congelados,Historico,21,,
2023-05-06,Descartables,Historico,51,,
2023-05-06,Embutidos,Historico,1,,
2023-05-06,Enlatados,Historico,11,,
2023-05-06,Lacteos,Historico,37,,
2023-05-07,Bebidas,Historico,14,,
2023-05-07,Carnes,Historico,8,,
2023-05-07,Congelados,Historico,25,,
2023-05-07,Descartables,Historico,40,,
2023-05-07,Embutidos,Historico,4,,
2023-05-07,Enlatados,Historico,25,,
2023-05-07,Lacteos,Historico,32,,
2023-05-08,Bebidas,Historico,30,,
2023-05-08,Carnes,Historico,35,,
2023-05-08,Congelados,Historico,6,,
2023-05-08,Descartables,Historico,37,,
2023-05-08,Embutidos,Historico,2,,
2023-05-08,Enlatados,Historico,15,,
2023-05-08,Lacteos,Historico,54,,
2023-05-09,Bebidas,Historico,7,,
2023-05-09,Carnes,Historico,16,,
2023-05-09,Congelados,Historico,5,,
2023-05-09,Descartables,Historico,43,,
2023-05-09,Embutidos,Historico,7,,
2023-05-09,Enlatados,Historico,2,,
2023-05-09,Lacteos,Historico,37,,
2023-05-10,Bebidas,Historico,12,,
2023-05-10,Carnes,Historico,11,,
2023-05-10,Congelados,Historico,3,,
2023-05-10,Descartables,Historico,33,,
2023-05-10,Embutidos,Historico,7,,
2023-05-10,Enlatados,Historico,13,,
2023-05-10,Lacteos,Historico,20,,
2023-05-11,Bebidas,Historico,3,,
2023-05-11,Carnes,Historico,2,,
2023-05-12,Carnes,Historico,20,,
2023-05-12,Congelados,Historico,3,,
2023-05-12,Descartables,Historico,93,,
2023-05-12,Embutidos,Historico,7,,
2023-05-12,Enlatados,Historico,21,,
2023-05-12,Lacteos,Historico,42,,
2023-05-13,Bebidas,Historico,7,,
2023-05-13,Carnes,Historico,17,,
2023-05-13,Congelados,Historico,16,,
2023-05-13,Descartables,Historico,45,,
2023-05-13,Embutidos,Historico,5,,
2023-05-13,Enlatados,Historico,3,,
2023-05-13,Lacteos,Historico,31,,
2023-05-15,Bebidas,Historico,6,,
2023-05-15,Carnes,Historico,41,,
2023-05-15,Descartables,Historico,47,,
2023-05-15,Embutidos,Historico,6,,
2023-05-15,Enlatados,Historico,10,,
2023-05-15,Lacteos,Historico,33,,
2023-05-16,Bebidas,Historico,6,,
2023-05-16,Carnes,Historico,11,,
2023-05-16,Congelados,Historico,11,,
2023-05-16,Descartables,Historico,50,,
2023-05-16,Embutidos,Historico,2,,
2023-05-16,Enlatados,Historico,15,,
2023-05-16,Lacteos,Historico,20,,
2023-05-17,Bebidas,Historico,5,,
2023-05-17,Carnes,Historico,11,,
2023-05-17,Congelados,Historico,4,,
2023-05-17,Descartables,Historico,28,,
2023-05-17,Embutidos,Historico,2,,
